i,t,m,index,women,girls,boys,men,Males 00-03,Females 00-03,Males 04-08,Females 04-08,Males 09-13,Females 09-13,Males 14-18,Females 14-18,Males 19-30,Females 19-30,Males 31-50,Females 31-50,Males 51-99,Females 51-99,log HSize
7003300541004,2007,Sumadija,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7003300541005,2007,Sumadija,92,2,0,0,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1.386294361
7003300541006,2007,Sumadija,93,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7003300541007,2007,Sumadija,94,3,1,1,2,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1.945910149
7003300541008,2007,Sumadija,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7003300541009,2007,Sumadija,96,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7003300541010,2007,Sumadija,97,1,2,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,1.609437912
7003300541011,2007,Sumadija,98,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1.386294361
7003300541012,2007,Sumadija,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7003300541013,2007,Sumadija,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7003300541014,2007,Sumadija,101,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1.098612289
7003301501001,2007,Sumadija,102,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7003301501002,2007,Sumadija,103,2,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,2,1.609437912
7003301501004,2007,Sumadija,104,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1.098612289
7003301501005,2007,Sumadija,105,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
7003301501007,2007,Sumadija,106,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7003301501008,2007,Sumadija,107,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7003301501009,2007,Sumadija,108,3,0,1,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1.609437912
7003301501010,2007,Sumadija,109,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7003301501011,2007,Sumadija,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7003301501012,2007,Sumadija,111,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7003301501013,2007,Sumadija,112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7003301501014,2007,Sumadija,113,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.6931471806
7004100391001,2007,West serbia,114,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7004100391002,2007,West serbia,115,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1.098612289
7004100391003,2007,West serbia,116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7004100391004,2007,West serbia,117,2,0,0,2,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1.386294361
