i,t,m,Females 00-03,Females 04-08,Females 09-13,Females 14-18,Females 19-30,Females 31-50,Females 51-99,Males 00-03,Males 04-08,Males 09-13,Males 14-18,Males 19-30,Males 31-50,Males 51-99,log HSize
010104010100101204,2018-19,Tigray,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1.098612289
010104010100101220,2018-19,Tigray,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1.386294361
010104010100101236,2018-19,Tigray,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1.098612289
010104088800405010,2018-19,Tigray,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1.386294361
010104088800405019,2018-19,Tigray,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.098612289
010104088800405028,2018-19,Tigray,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1.386294361
010104088800405030,2018-19,Tigray,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1.386294361
010104088800405043,2018-19,Tigray,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1.386294361
010104088800405056,2018-19,Tigray,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.6931471806
010104088800405069,2018-19,Tigray,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1.791759469
010104088800405080,2018-19,Tigray,2,0,0,0,1,0,0,0,1,0,0,1,0,0,1.609437912
010104088800405091,2018-19,Tigray,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1.386294361
010104088800405098,2018-19,Tigray,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1.791759469
010104088800405106,2018-19,Tigray,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1.791759469
010104088800405133,2018-19,Tigray,0,0,0,2,1,0,0,0,1,1,0,0,1,0,1.791759469
1010500204001,2011-12,Tigray,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6931471806
1010500204001,2013-14,Tigray,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1.386294361
1010500204001,2015-16,Tigray,0,2,0,0,1,0,0,1,0,0,0,1,0,0,1.609437912
1010500204025,2011-12,Tigray,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1.791759469
1010500204025,2013-14,Tigray,1,1,1,0,0,1,0,0,1,2,1,0,1,0,2.197224577
1010500204025,2015-16,Tigray,2,1,0,1,0,1,0,0,0,3,1,0,1,0,2.302585093
